week,condition_label,value
34,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",6.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",14.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",25.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",51.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",7.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",14.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",26.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",50.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",7.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",26.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",50.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",48.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",4.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",49.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
